goodsNo,goodsName,displayGenderText,normalPrice,price,couponPrice,saleRate,couponSaleRate,hasOptionPrice,brand,reviewCount,reviewScore,isYoutubeCollab
4814988,MOT SERIES LONG SLEEVE(CUSTOM CHOPPERS)_OFF WHITE,공용,74000,66600,,10,,False,outstanding,25,98,0
4815039,MOT SERIES LONG SLEEVE(PEACH SPRINGS)_BLACK,공용,65000,58500,,10,,False,outstanding,24,96,0
5353193,CANVAS CARPENTER DOUBLE KNEE PANTS_REALTREE CAMO,남성,108000,97200,,10,,False,outstanding,2,90,0
2857040,MOUNTAIN DOWN PARKA_BLACK,남성,248000,223200,,10,,False,outstanding,804,98,0
5353169,OSTD QUICK RELEASE BELT_BLACK,남성,68000,61200,,10,,False,outstanding,3,100,0
5408002,FAIRISLE CREW NECK KNIT_NAVY,남성,98000,88200,,10,,False,outstanding,1,100,0
5407852,V.S.C HOOD SWEAT(BOSTON)_1%OATMEAL,남성,98000,88200,,10,,False,outstanding,0,0,0
4641443,OSTD BRAIDED BELT_BROWN,남성,58000,52200,,10,,False,outstanding,50,100,0
4423395,AUTHENTIC COMFORT SWEAT_1%MELANGE GRAY,남성,74000,66600,,10,,False,outstanding,59,98,0
5353286,MIL SERIES LONG SLEEVE(USS SC)_NAVY,남성,74000,66600,,10,,False,outstanding,3,94,0
4262819,HEAVY CANVAS WASHING WORK JACKET_OLIVE,남성,179000,161100,,10,,False,outstanding,35,100,0
5312343,CORDUROY COMFORT FRENCH WORK PANTS_BROWN,남성,89000,80100,,10,,False,outstanding,0,0,0
4825718,V.S.C LONG SLEEVE(RIVERSIDE)_PIGMENT CHARCOAL,공용,65000,58500,,10,,False,outstanding,20,96,0
